Album,Background,Sound,Picture,Caption,EndPost
fun,waterdrops,https://www.youtube.com/embed/O6NRLYUThrY?&list=RDO6NRLYUThrY&autoplay=1&loop=1&enablejsapi=1,,,
,,,backup.jpg,Remember the backup,
,,,backyard.jpg,My backyard 2016,
,,,biscotti.jpg,Biscotti a lot of'em,
,,,biscottiauchocolat.jpg,Biscotti with chocolate,
,,,bus.jpg,A bus in Seattle,
,,,caprese.jpg,Vesuvio with snow 2017,
,,,christmas2016.jpg,Christmas 2016,
,,,clinteastwood.jpg,Clint unforgettable,
,,,donuts.jpg,Not good for you,
,,,grapes.jpg,My backyard 2016,
,,,happy2017.jpg,Happy 2017,
,,,icystars.jpg,Winter play on my windshield,
,,,menu.jpg,Mexican menu,
,,,mydesk.jpg,My desk at Christmas,
,,,prosecco.jpg,Prosecco is ready,
,,,vecchiomenu.jpg,Italian old menu,
,,,winonmac.jpg,Mac supporting Windows,
