Album,Background,Sound,Picture,Caption,EndPost
italy,sicily,https://www.youtube.com/embed/4u1kXAP8TSo?&autoplay=1&loop=1&enablejsapi=1,,,
,,,alfresco.jpg,Al fresco last summer,
,,,aroundthecorner.jpg,Turning the corner in Venice,
,,,artform.jpg,Is it food or art?,
,,,cinqueterre.jpg,Cinque Terre,
,,,como.jpg,Lake Como,
,,,italianyoga.jpg,Yoging in Italy,
,,,italysomewhere.jpg,Somewhere in Italy,
,,,mangiaitaliano.jpg,Mangia Italiano,
,,,parkingatthebeach.jpg,Finding a parking spot,
,,,trafficjam.jpg,Small traffic jam,
,,,tuscany.jpg,Tuscany we all know,
,,,venice.jpg,Venezia the Beautiful,
,,,vespa.jpg,Somewhere in Italy,
