Album,Background,Sound,Picture,Caption,EndPost
napoli,oranges,https://www.youtube.com/embed/M3IaTs0kHQE?&list=PL7SXJqBipnvXvtTRXAziq9XeTc7udKxJa&autoplay=1&loop=1&enablejsapi=1,,,
,,,vesuvio.jpg,Vesuvio from Mergellina,
,,,procida.jpg,Procida 2016,
,,,posillipo.jpg,Posillipo in the morning,
,,,posillipo2.jpg,Posillipo at night,
,,,posillipo3.jpg,Posillipo in the morning,
,,,vesuvioinnevato.jpg,Vesuvio with snow 2017,
,,,marechiare.jpg,Marechiare window,
,,,ocasatielle.jpg,Easter food,
,,,vesuviomergellina.jpg,Vesuvio from Mergellina,
,,,amalfi.jpg,Amalfi,
,,,ravello.jpg,Amalfi coast Ravello,
,,,limoncello.jpg,Everybody knows this,
,,,positano.jpg,Dreaming with eyes open,
,,,praiano.jpg,Amalfi coast Praiano,
